0,খাদ্যের মান সম্পূর্ণ অর্থহীন। দাম হাস্যকররকমের আকাশচুম্বী ছিল। সেখানে যেতে হবে না। বুদ্ধি বারি এবং পিজার রাজা এরচেয়ে অনেক ভাল
0,আমার খাওয়া সবচেয়ে খারাপ চিকেন ! সাজসজ্জাটা দেখার মত এবং তাই মানুষজন সেখানে যেতে মনস্থ .. কিন্তু খাবারের স্বাদ তেমন ভাল নয়! এবং খাবারের মান অনুযায়ী দাম অনেক বেশি!
0,আমি সবচেয়ে খারাপ সেবা পেয়েছিলাম !! খাবারের জন্য 1 ঘন্টা অপেক্ষা করতে হয়েছিল !!!
0,সবচেয়ে খারাপ সেবা । আমার খাওয়া সবচেয়ে খারাপ পিজা ছিল এবং তাদের মূল্যটাও অনেক বেশি বেশী।
0,অত্যধিক ব্যয়বহুল মুরগি কোন স্বাদ ছাড়াই। এরচেয়ে অনেক সস্তা কেএফসি বা স্থানীয় চিকেন এ যাওয়া ভাল।
0,খাবার খুব খারাপ ছিল। তাছাড়া খাবারের মান এবং পরিমাণ খুব কম ছিল।
0,তাদের  কোনো খাবারই কোন পছন্দ হয়নি। মেনু পুরো পৃষ্ঠায় ছিল কিন্তু খাবারের মান খুবই কম। মনে হয় না আবার ফিরে যাব।
0,আমার জীবনের সবচেয়ে খারাপ খাবার ... নিজের ঝুঁকিতে খেয়ে নিয়েন ..
0,সবচেয়ে খারাপ অভিজ্ঞতা !!! আমি প্রত্যেকের কাছে  অনুরোধ করবো এমন জায়গায় গিয়ে  অর্থ অপচয় না করার জন্য ।
0,আমার জীবনের খাওয়া সবচেয়ে খারাপ খাবার। পুরো টাকাটাই গোল্লায় গেল।
